review_id,listing_id,date,reviewer_name,comments,listing_name,neighbourhood,borough,room_type,nightly_price,review_scores_rating
128966,9357,2010-10-28,Marla,"We stayed 5 nights at Laurelle's place and it was great.  Easy and flexible check in and out, plus access to her computer! The flat is central and quiet, a nice addition is hearing the clip clop of horse/carriages driving by.  ",Midtown Pied-a-terre,Hell's Kitchen,Manhattan,Entire home/apt,$148.04,4.52
243695,45936,2011-04-28,Peter,"I had a truly enjoyable stay with Purva’s parents, excellent hosts, The apartment is very comfortable and located in a safe and convenient area. Just two-minuet walk through Columbia University campus take you to the subway. Purva responded straight away to my request and made it a breeze for me to get the keys from her parents. I would be happy to stay there again on my next visit to NYC! Pete ",Couldn't Be Closer To Columbia Uni,Morningside Heights,Manhattan,Private room,$65.36,4.67
252582,54860,2011-05-05,Jenny,"Jenny was very kind  and helped us a lot. The Apartment is great very close to the subway and very private, everything was clean and nice (better than an hotel). I defenitely recommend Jenny's place if you want  to go to NYC. ",Bedroom in my apartment with a private bathroom.,East Harlem,Manhattan,Private room,$89.88,4.87
297904,6990,2011-06-05,Katrina,"I enjoyed my stay with Cynthia tremendously!!  Her home is more beautiful than I ever imagined.  It was a wonderful experience spending time with her and she is brillant at making her guests feel comfortable.  She offers a warm haven to live that feels like home and her beautiful artwork is a festival for the eyes in every room.  I did not want to leave.  I felt like I was not just a guest, but part of her family. She goes the extra mile to welcoming her guests into her home.   She spent a lot of time helping me get settled and giving me valuable information about places to eat and and have fun.  <br/>This was my first real visit to New York City and Cynthia was a most wise philosopher and guide to the city and to life. I couldn't believe how fortunate I was to have her as my host.   She has so much positive passion and energy about her work and about people and she had a life changing effect on me.  I am thrilled I got to meet her, and  honored to call her a friend.  People like Cynthia do not come around all the time, and when you get a rare opportunity to know them,  PLEASE GRAB IT!!!!!!! ",UES Beautiful Blue Room,East Harlem,Manhattan,Private room,$77.17,4.88
454996,115535,2011-08-18,Damien,"Clean apartment and clean room located near a subway station, a grocery store, a laundromat, ... Everything to make your stay comfortable and convenient. I never heard the neighbors and, while I was aware of the street's noise, it never prevented me from going to sleep. After all, as it was mentioned before, this is New York City.<br/><br/>Jane was a wonderful host. She was welcoming from the minute I arrived and she kept me aware of happenings in the city. She dealt with my odd hours and we shared many great conversations. I would definitely stay there again.",Sun-Drenched Hamilton Hts Jewel,Harlem,Manhattan,Private room,$43.86,4.76
530263,46544,2011-09-14,Martin,"We spent a fantastic 7 days here. A lovely, quirky, flat in a great location - close to excellent restraunts and coffee shops all recommended by Monica, with the subway station being only a couple of minutes walk away and the next stop Manhattan. ",Park Slope haven 15 mins from Soho,Park Slope,Brooklyn,Entire home/apt,,4.71
535575,18728,2011-09-16,Raffael,"David & Rick's Place was just amazing - as David & Rick are themself. Very centraly located, the appartment is def.more than just a ""room"". You have a whole floor just for yourself, everything is clean and looks more than nice.<br/><br/>David & Rick are the best hosts you can imagine. As David was at home most of the time we where there (but upstairs, never ever bothering you!), he helped us with every question, gave us tips and told us where to go to.<br/><br/>If you're looking for a cool, centraly located, clean & even stylish place with more than just friendly hosts - contact them.<br/><br/>Raffael & Lukas ",Beautiful Meatpacking District Loft,Chelsea,Manhattan,Private room,$207.23,4.95
543394,58059,2011-09-18,Andy,I stayed for 5 Nights. Agnes is a nice host and puts on a great breakfast. The room is small but clean and comfortable. the apartment is very close to the metro  (4min.) and you've the express train D as well! ,Traveling Nurses and Medical Professionals,Harlem,Manhattan,Private room,$50.56,4.71
791564,18152,2011-12-18,Gail,"A beautiful lady, cat, and apartment in a wonderful neighborhood. The bed is the most comfortable I have ever slept on, and Victoria's place is super clean. She was vey friendly and helpful with directions around town. The private room was a big plus and I hope to return one day! ",Manhattan Room,Upper East Side,Manhattan,Private room,$554.20,4.41
793558,16974,2011-12-19,Ellen,"Our small film cast and crew (about 7 people) stayed here for over a week in December of 2011.  It was a perfect location for us to spread out and feel at home.  Transportation to other parts of Manhattan was very easy via subway and cab or car service.  Robin had a binder full of great recommendations for food and things to do in the neighborhood and we took advantage of the kitchen and the takeout options in the area.    Two of us were older people in their 80s and this was a great building for them to stay in because the elevator made it accessible. Spacious, comfortable, relaxing, lots of sunlight in the afternoon, many different beds and fold-out couch sleeping options.  Only tough part for a group this big was that the walls aren't floor to ceiling in all the rooms so you have to work out some quiet hours.  Overall, a great place to stay and we would do it again.",SpaHa Loft: Enormous and Bright,East Harlem,Manhattan,Entire home/apt,$211.57,4.85
