stock_code,country,revenue,quantity,transactions
DOT,United Kingdom,322657.48,1436,1436
22423,United Kingdom,291249.35,22911,3574
M,United Kingdom,246328.05,9950,779
85123A,United Kingdom,242910.27,88471,5477
23843,United Kingdom,168469.6,80995,1
85099B,United Kingdom,166871.27,89136,3842
47566,United Kingdom,140266.7,26317,2598
84879,United Kingdom,123045.48,76013,2778
22086,United Kingdom,120037.49,35442,2137
79321,United Kingdom,84382.01,16622,1160
23166,United Kingdom,80575.63,77036,228
22197,United Kingdom,76017.09,83655,2280
84347,United Kingdom,71748.17,31360,794
22386,United Kingdom,69355.62,35556,2192
21137,United Kingdom,67546.9,19451,613
85099F,United Kingdom,64727.74,35015,1814
48138,United Kingdom,64395.62,9694,1627
82484,United Kingdom,61338.17,10835,1159
22114,United Kingdom,61237.4,11873,1607
22502,United Kingdom,60116.57,3583,939
21621,United Kingdom,59606.04,6820,1307
20725,United Kingdom,59280.05,32510,2870
21931,United Kingdom,58657.39,27546,2296
22910,United Kingdom,58362.89,18339,1493
85099C,United Kingdom,58060.17,30038,1880
22112,United Kingdom,57733.27,10893,1761
20685,United Kingdom,55589.54,8144,1589
22470,United Kingdom,55179.87,18291,2062
22411,United Kingdom,54242.44,25514,2187
22189,United Kingdom,53418.5,18054,1289
15056N,United Kingdom,53128.14,10439,956
21843,United Kingdom,52113.25,4929,1359
22178,United Kingdom,52066.59,39818,1833
21623,United Kingdom,51893.88,7177,542
84946,United Kingdom,50677.22,37542,1819
22469,United Kingdom,49764.51,28172,2237
22111,United Kingdom,49400.66,9615,1750
21733,United Kingdom,48270.57,16815,1772
48194,United Kingdom,47950.65,7615,1328
22457,United Kingdom,46952.75,15169,2063
21232,United Kingdom,46371.03,35360,2378
84029E,United Kingdom,46074.21,11379,1216
21754,United Kingdom,46057.94,7506,2105
71477,United Kingdom,45569.13,15411,836
21929,United Kingdom,45250.95,23104,1557
21181,United Kingdom,45087.42,22013,1825
48185,United Kingdom,44649.39,6667,957
22139,United Kingdom,44246.46,8785,1858
48187,United Kingdom,43982.21,6955,1228
22355,United Kingdom,43415.09,28661,1626
82494L,United Kingdom,43310.15,15128,2002
21928,United Kingdom,43296.65,22647,1511
22090,United Kingdom,42569.8,13834,1554
21175,United Kingdom,42386.11,19995,1657
15056BL,United Kingdom,42200.99,8624,789
20727,United Kingdom,41970.69,24234,2382
20914,United Kingdom,41749.36,14654,1944
21212,United Kingdom,41349.07,72389,2874
21523,United Kingdom,41230.71,6155,1068
82482,United Kingdom,41041.33,16583,2033
84078A,United Kingdom,39352.96,1000,309
POST,Germany,39231.2,2090,645
82486,United Kingdom,38310.1,4771,1319
20713,United Kingdom,38132.33,19416,1286
23084,United Kingdom,38087.95,15302,875
85066,United Kingdom,38086.0,3041,924
23298,United Kingdom,37733.53,7259,1064
21915,United Kingdom,37522.0,32015,898
22083,United Kingdom,37504.21,12565,1376
23203,United Kingdom,37243.2,17967,1150
23284,United Kingdom,37070.59,5344,702
22138,United Kingdom,36946.21,7442,1663
22383,United Kingdom,36406.01,20554,2333
20728,United Kingdom,35492.29,20139,1971
21755,United Kingdom,34563.94,5591,1741
AMAZONFEE,United Kingdom,34009.13,4,4
21485,United Kingdom,33828.1,6821,1380
21479,United Kingdom,33672.31,6618,1008
22699,United Kingdom,33152.94,11118,1343
22727,United Kingdom,32938.36,8234,1301
22188,United Kingdom,32593.93,12315,573
21166,United Kingdom,32257.28,16650,1398
22379,United Kingdom,31918.46,14270,1529
84029G,United Kingdom,31556.88,7214,1095
22865,United Kingdom,31161.71,14339,1319
22960,United Kingdom,30868.31,7041,1082
85152,United Kingdom,30620.56,15899,1477
22726,United Kingdom,30080.59,6974,1220
22720,United Kingdom,29962.99,5705,1255
15036,United Kingdom,29854.23,39889,963
22501,United Kingdom,29770.24,2532,753
20726,United Kingdom,29758.23,16431,1748
82483,United Kingdom,29701.09,5019,1173
21524,United Kingdom,29314.92,4249,1062
20724,United Kingdom,29151.03,24171,1814
22866,United Kingdom,29144.94,13116,1223
22384,United Kingdom,28913.56,17423,2036
22666,United Kingdom,28857.2,8928,1601
23355,United Kingdom,27866.2,5636,778
22867,United Kingdom,27855.02,12593,1178
22659,United Kingdom,27836.57,15054,1065
22697,United Kingdom,27735.72,8720,1314
22622,United Kingdom,27700.09,2771,533
22385,United Kingdom,27610.51,14392,1163
22835,United Kingdom,27372.08,5288,1039
21731,United Kingdom,27185.64,15242,1215
20712,United Kingdom,27182.58,11979,1234
22382,United Kingdom,27017.64,15683,2020
48188,United Kingdom,26697.77,4593,643
82583,United Kingdom,26664.05,12076,1220
23199,United Kingdom,26469.67,12854,895
20971,United Kingdom,26375.56,20243,1144
48184,United Kingdom,26301.67,3989,793
22077,United Kingdom,26231.89,13925,1650
