stock_code,description,revenue,quantity,transactions,countries
22423,REGENCY CAKESTAND 3 TIER,344563.25,27577,4061,31
85123A,WHITE HANGING HEART T-LIGHT HOLDER,263109.67,96147,5686,23
85099B,JUMBO BAG RED WHITE SPOTTY ,183454.83,98349,4124,22
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
47566,PARTY BUNTING,149187.05,28378,2740,21
84879,ASSORTED COLOUR BIRD ORNAMENT,132187.92,81809,2938,19
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,123141.54,36581,2198,12
79321,CHILLI LIGHTS,85489.91,16840,1184,10
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033,250,10
22197,"POPCORN HOLDER , SMALL ",80920.64,89898,2446,17
22386,JUMBO BAG PINK WITH WHITE SPOTS,77111.91,39840,2322,17
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74448.92,32525,836,16
20725,LUNCH BAG RED SPOTTY,72292.85,40942,3179,21
21137,BLACK RECORD COVER FRAME,69329.47,19954,653,8
85099F,JUMBO BAG STRAWBERRY,68488.81,37124,1885,16
20685,RED SPOTTY COIR DOORMAT,67859.56,9974,1769,19
48138,DOOR MAT UNION FLAG,67757.63,10175,1701,12
23084,RABBIT NIGHT LIGHT,66964.99,30788,1036,20
21843,RETRO SPOT CAKE STAND,66620.2,6290,1570,18
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63517.75,12462,1692,19
82484,WOOD BLACK BOARD ANT WHITE FINISH,62842.02,11054,1210,15
21931,JUMBO STORAGE BAG SUKI,62285.28,29503,2398,17
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61721.99,19597,1542,12
22502,PICNIC BASKET WICKER SMALL,61510.67,3869,963,8
22112,CHOCOLATE HOT WATER BOTTLE,60763.12,11556,1833,16
21621,VINTAGE UNION JACK BUNTING,60668.54,6945,1330,10
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60292.32,31249,1926,15
15056N,EDWARDIAN PARASOL NATURAL,58427.59,11370,1056,14
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58275.45,27732,2274,19
22470,HEART OF WICKER LARGE,55898.87,18551,2085,10
22189,CREAM HEART CARD HOLDER,54598.73,18363,1336,12
