catalog_id,brand,title,description,price,currency,cluster_id
5303451,,Ubiquiti UniFi Video G3 Infrared Range Extender,The IR Range Extender is a 'Plug and Play' accessory designed to enhance and extend the night vision capabilities of the UVC-G3 camera.UVC-G3-LED Specification:-Enhances Night Vision RecordingsExtends IR Range up to 25m (82ft)Six High-Intensity Infrared LEDsPowered and Controlled by the UVC-G3...,70.80,GBP,711907
13950014,Manfrotto,Manfrotto Befree Advanced Alu Reisestativ Kit QPL schwarz,,145.24,EUR,943488
70265673,Crucial,Crucial DDR3L 1600MHz 4GB (1x4) Desktop Memory RAM CT51264BD160BJ | PCByte,,33.0,AUD,2395112
77791574,A-Data,ADATA SSD 1TB XPG SX6000 Lite PCIe Gen3x4 M.2 2280 QLC (R:1800/W:1200 MB/s),"XPG SX6000 Lite PCIe Gen3x4 M.2 2280 Solid State Drive Looking to replace your SATA SSD? If so, look no further than the SX6000 Lite PCIe Gen3x4 M.2 2280 SSD. Supporting NVMe 1.3, equipped with 3D NAND Flash, and coming with up to 1TB capacity, the SX6000 Lite is a great upgrade choice.FeaturesUltra",118,EUR,89058
66087579,DYMO,"DYMO 45017 D1 Tape 12mm x 7m sort p rd, S0720570",Originalt DYMO 45017 D1-tape SORT/RD Passer til: DYMO Labelpoint 120P / 150 / 200 / 210D / 250 / 300 / 350 DYMO Labelmanager 150 / 160 / 200 / 210D / 220P / 260P / 280 / 300 / 350 / 360D / 400 / 420P / 450 / 450D DYMO Labelmanager PC / PCII / PNP DYMO Labelmanager Mobile DYMO Labelwriter 400 Duo / 4,139.00,DKK,48435
16164619,,"CoolerMaster case miditower series N300, ATX,čierna, USB3.0, bez zdroja NSE-300-KKN1",,49.78,EUR,2074244
19072250,Jabra,Jabra BIZ 2300 USB MS Mono Wired Headset,,147,USD,359727
7309472,,11Shimano - (HG701) XT / ULTEGRA 116 Links,11XT / Ultegra.Sil-Tec..116 . : 263 .,155.00,ILS,483370
50979472,,UBIQUITI UNIFI UAP-AC-PRO-5 (5-Pack),,3110.04,PLN,68127
45664586,,Transcend SSD230S 128GB best price,"Transcend 128GB 2.5\"" SSD230S SATA3 3D NAND Flash TLC, read-write: up to 560MBs, 520MBs, Aluminum case Price: 22.08. Best price from OmniChannel. Convenient payment by bank transfer or delivery",2.208E1,eur,715391
625440,,"Canon 0884B001AA (PFI-101C) Ink Cartridge, Cyan, OEM",OEM Canon PFI-101C (0884B001AA) Cyan Ink CartridgeCompatible with:imagePROGRAF iPF5000imagePROGRAF iPF5100imagePROGRAF iPF6000SimagePROGRAF iPF6100imagePROGRAF iPF6200,133.99,USD,1059522
11565762,Western Digital,WD Blue 250GB - [WDS250G1B0A] SSD,"(Solid, -, 2.5\"", 250GB, Blue, Drive), SATA, SSD, State, WD, Western Digital, [WDS250G1B0A]",101.95,EUR,483248
87112730,,"Apple iPad Air 2019 10,5 inch / zilver / 256 GB",,,,397565
51278033,,"海盗船 110R Tempered Glass ATX, USB 3.1 Type-A, 5x 120mm or 3x 140mm Cooling, 5.25' x 1, 2.5' x 2. Combo 3.5'/2.5' Tray.Mid TowerGaming Case",,159.00,AUD,1196850
47959304,,Epson C13T865140 WF-51xx/56xx Cartridge XXL Mono,,549,PLN,193507
18996777,Hikvision,Hikvision DS-7208HQHI-K2/P 8 Channel TVI POC DVR & NVR Tribrid CCTV Recorder with Network and Mobile phone remote viewing,,,,28399
96299407,,Traveler's Notebook Accessories - Slip Case,"A popular addition for all Traveler's notebook. The transparent slip case has 3 pockets. One end has a zipper pocket and the other end has two open pockets.An additional notebook can be inserted in the back pocket.Great for storing tickets, a key or small keep sakes you discover along your journey.H",12.00,AUD,613888
60131715,Samsung,Samsung Solid State Drive 970 EVO Plus NVMe M.2 500GB - MZ-V7S500B/AM,"Featuring Samsung's latest V-NAND technology and a newly enhanced Phoenix controller, Samsung 970 EVO Plus Series NVMe M.2 SSDs deliver outstanding performance in Non-Volatile Memory Express (NVMe), with exceptionally fast sequential speeds outperforming",,,416703
47121877,,Slušalke Audio-Technica ATH-PRO7x,,208.95,EUR,249337
14979345,,Shimano PD-RS500 Road Pedal,"The Shimano PD-RS500 Road Pedal offer a lighter spring tension optimized for beginner riders, larger entry target for easier engagement and an extra-wide platform transfers pedaling power efficiently.PEDAL AXEL MATERIAL: Chromoly SteelPEDAL TYPE: SPD SLGENERATION: RS500",89.99,CAD,3789862
23678296,,Pre-Owned Audemars Piguet Royal Oak Chronograph - Full Diamond Watch,Brand: Audemars PiguetModel: Royal Oak ChronographComes with Original Box and PapersDetailsCase: Original Audemar Piguet Case with Custom Set with Genuine High Quality DiamondsCase Material: SteelDiamond on the LugsCase Diameter: 41mmBezel: Custom Diamond Baguette BezelDial: Original Audemars Piguet,1.01963E5,USD,607611
22150807,APC,APC Replacement Battery Cartridge #110,,595,NOK,1157842
43227294,,"GeForce® RTX 2080 SUPER™ OC, DUAL-RTX2080S-O8G-EVO, 1650 - 1860MHz, 8GB GDDR6, Graphics Card",The ASUS Dual GeForce® RTX 2080 SUPER™ EVO OC edition 8GB GDDR6 with two powerful Axial-tech fans for high refresh rate AAA gaming and VR,805.51,USD,3154731
13546282,,Evans EMAD 20in Clear Bass Drum Head,"An ideal balance of punch, power, and low-end...the EMAD is a 10mil 1-ply head that employs an externally mounted adjustable damping system with two interchangeable damping rings that allow the player to adjust attack and focus. On an empty drum and tuned high, the EMAD delivers a centered pitch tha",47.99,GBP,800940
14737778,,"RAM Double U-Bolt Base with 2.25\"" Ball","The RAM-D-235U by RAM Mounts consists of a stainless steel double u-bolt base connected to a 2.25\"" diameter ball. The double u-bolt base will accommdate rails from 0.75\"" to 1.25\"" in diameter.Material: Powder Coated Marine Grade AluminumBall Size: 2.25\"" Rubber Ball \""D\"" Size",$64.05,AUD,1571647
65942456,3M,Privacy Flt 23in Ws Framed Black Dt Disp,"3M privacy and protection products work simply and beautifully on most of today's devices to help protect your screens, and help keep the information displayed on them private. You get crisp image clarity on your display, while visual hackers with side views are kept in the dark. For collaboration a",461.14,GBP,654362
27761736,,Kingston DataTraveler microDuo 3C - USB-flashstation,,3.495E1,EUR,1085000
14035013,,LaCie 2TB Rugged Thunderbolt USB-C + USB 3.0,LaCie 2TB Rugged Thunderbolt USB-C + USB 3.0,156.15,GBP,114602
1633273,,"3M - Lightweight 300 Privacy Filter PF319WSkjermfilter mot innsyn, m/ramme 18.4\""-19\""W (26,9 x 42,3)","3M Lightweight 300 Privacy Filter PF319WSkjermfilter mot innsyn, m/ramme 18.4\""-19\""W (26,9 x 42,3) (98-0440-4548-6) - Typ: Övriga tillbehör",2041.00,SEK,3303908
88715660,,Brother HL-L5200DW stampante laser 1200 x 1200 DPI A4 Wi-Fi,"1200 x 1200 dpi, A4/A5/A6, 60 - 120 g/m2, USB 2.0, Ethernet, IEEE 802.11b/g/n, Cortex-A9 800 MHz, LCD, 52 dB(A), 10.7 Kg",262.36,EUR,4560116
90938642,,"Zebra 800015-101 Black Monochrome Ribbon - K - 1,000 prints","Zebra 800015-101 Resin Black (\""K\"") ribbons are monochrome (1-color) ribbons.Zebra 800015-101 black monochrome ribbons are primarily used for printing text and one-color line art on one or both sides of a card.Note: Black resin is needed to print readable barcodes.To maintain your Zebra card printe",13,USD,5836450
42351173,,Canon CLI-251XL Original Ink Cartridge - Black,Features The CLI-251 inks dry instantly so your photos are ready to be enjoyed as soon as they come out of the printer! Genuine Canon Ink tanks allow free access to exciting exclusive content via Creative Park Premium Smart LED lets you know when the inks are properly installed ChromaLife100+ system,21.50,USD,767463
75852884,,64GB Extreme Pro CFast 2.0 hukommelseskort,"A NEW LEVEL OF PERFORMANCE FOR CAMERAS AND CAMCORDERS Designed in parallel with leading-edge camera manufacturers, the SanDisk Extreme PRO CFast 2.0 memory card delivers the speed and capacity professionals need for Full HD recording specifications, including high-definition 4K video recording1. Nex",1519.00,DKK,1013997
4984777,,Dymo 53718 24mm x 7m Black on Yellow Tape,,19.43,GBP,103881
64197093,,"APC Smart-UPS RT RM battery pack, Extended-Run, 192V bus voltage, Rack 6U, compatible with Smart-UPS RT RM 15 -20kVA, Black (SURT192RMXLBP2)",,278450,RUB,1075774
46518287,,11Shimano - (HG901) XTR / DURA ACE 116 Links,11XTR -Dura Ace.Sil-Tec.116 ..,205.00,ILS,1037461
46952690,Kingston,HyperX Fury black HX432C16FB3/16,"16GB, DDR4, 3200MHz, CL16, XMP",89.00,EUR,133673
7212290,,Maxxis Minion DHR II 3C TR DD Tire - 29x2.30,"The Maxxis Minion DHR II was designed for the often loose and muddy conditions of aggressive all-mountain terrain.The secret is Maxxis' Supertacky compound with low-rebound but high traction, to help you keep the rubber side down. This rear-specific tread pattern incorporates ramped knobs for low ro",81.0,USD,1084991
269919,,PG-1170 11-Speed Cassette,"SRAM's 1170 11-Speed Cassette is constructed of light, durable materials and boasts SRAM's PowerGlide tooth profiles and shift ramps for quick, positive gear changes. This excellent cassette also...",100.00,USD,4823047
70351063,,"SSD CRUCIAL BX500 120GB, 3D NAND, SATA III, 2.5-inch","SSD CRUCIAL BX500 120GB, 3D NAND, SATA III, 2.5-inch",107.85,LEI,744155
33473348,,Crystal Series 570X RGB ATX Mid-Tower Case — White,SpecificationCase Dimensions480mm (L) x 234mm (W) x 512mm (H)Maximum GPU Length370mmMaximum PSU Length225mmMaximum CPU Cooler Height170mmCase Expansion Slots7Case Drive Bays(x2) 3.5in (x2) 2.5inCase Form FactorMid-TowerCase WindowedTempered GlassCase WarrantyTwo yearsiCUE enabledNoCase MaterialSteel,7.3E2,AED,79866
2197153,,Monaco 1969 Automatic Chronograph Men's Watch,,5000,GBP,556904
62894191,Oakley,Oakley Jawbreaker Black Prizm OO9290 20 131-0,Lunettes de soleil Oakley Jawbreaker Black Prizm OO9290 20 131-0,,,1203171
29457595,,APC APCRBC133 Sealed Lead Acid (VRLA),"APC APCRBC133, Sealed Lead Acid (VRLA), 1 pc(s), Black, 432 VAh, 5 year(s), REACH No SVHCs",0.0,EUR,167983
72004049,,Samsung Portable SSD T7 MU-PC2T0Hsolid state drive - 2 TB - USB 3.2 Gen 2,"External storage, evolvedTransfer in a flashSecure with a touch",330.35,GBP,1252792
75242176,,Kazeta Shimano 11 CS-R9100 11-25,,4499.00,CZK,75017
33520763,,"Audio-technica ATH-M50XWH Pro Closed-back Headphone, Full, White","As the most critically acclaimed model in the M-Series line, the ATH-M50 is praised by top audio engineers and pro audio reviewers year after year. Now, the ATH-M50x professional monitor headphones feature the same coveted sonic signature, with the added feature of detachable cables. From the large ",1.69E2,USD,1084160
72955297,,Sandisk SDCZ60-064G-B35 - Cruzer Glide 64GB,"The Cruzer Glide USB flash drive is a simple and secure option for sharing, transporting and backing up important files. This compact design flash drive with retractable USB port is ideal for anyone who needs a portable storage solution for media and personal files.",18.48,CHF,763994
43851871,,Case Corsair 460X con luci red,Case Dimensions440mm x 220mm x 464mmMaximum GPU Length370mmMaximum PSU Length200mmMaximum CPU Cooler Height170mmCase Expansion Slots7Case Drive Bays”(x2) 3.5in (x3) 2.5in”Case Form FactorMid-TowerCase WindowedTempered GlassCase WarrantyTwo yearsiCUE enabledNo,184.09,USD,1320095
36616040,Jabra,Jabra Evolve 20 SE Mono MS USB Corded PC Headset,Jabra Evolve 20 SE Mono MS USB Headset from Headset Store. Next Day Delivery. Part Code:4993-823-309,47.99,GBP,1695227
70007549,,SANDISK EXTREME PRO SDHC 32GB 300MB/s UHS-II,"The SanDisk Extreme Pro SDHC 32GB 300MB/s* UHC-II Memory Cards give you extreme speed to catch every frame. SanDisk Extreme PRO SDHC Memory Cards are designed for for super-fast continuous burst mode shooting, with maximum post-production workflow efficiency, and high-performance video recording.",20.00,GBP,580471
25369954,Maxxis,Maxxis Minion DHR29X2.40 WT MG TR,"Excellent braking and cornering tractionTubeless ready (TR) availableThe Minion DHR II is a complete redesign. Acceleration, cornering and braking have all been improved. The shoulder knobs were borrowed from the legendary Minion DHF and then beefed u",88.00,EUR,319607
15348795,Asus,ASUS ROG STRIX B550-E GAMING Socket AM4 ATX AMD B550,MB Asus ROG STRIX B550-E GAMING AM4 / 4x DDR4 / ATX,227.98,EUR,135735
85264097,Corsair,"CORSAIR Crystal 570X RGB Tempered Glass, Premium ATX Mid Tower Case, White, CC-9011110-WW","CORSAIR Crystal 570X RGB Tempered Glass, Premium ATX Mid Tower Case, White, CC-9011110-WW",179.99,USD,79866
1446199,,3M - PF19.0 PRIVACY FILTER BLACK F-FEEDS,3M PF19.0 PRIVACY FILTER BLACK F-FEEDS (98044054066) - Type: General Office,1185.00,NOK,125058
22463957,,DYMO D1 - Glossy tape - black on white - Roll (2.4 cm x 7 m) - 1 roll(s),"Labels can be removed without leaving adhesive residue, Adheres to almost all clean, flat surfaces including plastic, paper, metal, wood and...",15.48,GBP,395055
86407819,,TP-LINK 450Mbps Wireless N Access Point / Range Extender,"Back450Mbps Wireless N Access Point / Range Extender TL-WA901NDWhat This Product DoesThe TP-LINK Wireless N Access Point TL-WA901ND is designed to establish or expand a scalable high-speed wireless N network or to connect multiple Ethernet enabled devices such as game consoles, digital media adapter",34.99,,877442
76236901,,Audemars Piguet Royal Oak Offshore Havana Men's Watch,"New colour combinations to extend the line of 42mm steel chronographs. Here it is on the updated “Havana style model\"" with cigarbrown” mega tapisserie” dial and caribbean-blue counters and inner bezel.",24500.00,USD,34768783
25537521,HP,652589-B21 HP 900GB 10K RPM 6G SAS SFF Form Factor 2.5 Inches SFF Enterprise Hot Swap Sc Hard Disk Drive In Tray For Gen8 Servers. New Retail Factory Sealed With Full Manufacturer Warranty.,General Information :Manufacturer/Supplier : Hewlett PackardManufacturer Part Number : 652589-B21Manufacturer Website Address : Http://www.hp.comBrand Name : HPSub-Type : 900GB 10K RPM SAS 6GBPSType : Hard Drive (HDD)Technical Information :Storage Capacity : 900GBMaximum External Data Transfer Rate ,285,USD,603762
54362555,,"Crucial MX500 SSD 2.5\"" - 2TB","Solid State Drive, kryptert, 2 TB, intern, 2.5\"", SATA 6Gb/s, 256-bit AES, TCG Opal Encryption 2.0",2803.00,NOK,70841
51893803,HP,HP 900GB 6G SAS 10K rpm SFF (2.5-inch) Dual Port Enterprise (619291-B21),"HP 619291-B21 900 GB 2.5'' Internal Hard Drive - 6Gb/s SAS - 10000 rpmHigh reliability for Mission Critical applications. Robust SAS interface (dual port, full duplex).. Maintaining existing universal hot plug carriers to support HP ProLiant G7 and earlier servers and server storage.. Ideal for tran",219.87,USD,3775297
27263164,SHIMANO,SHIMANO PD-R550 SPD-SL PEDAL BLK,Shimano Tiagra Pedal,110.00,AUD,1385673
44737753,Audio-Technica,Audio-Technica ATH-M50x Professional Monitor Closed Over-Ear Headphones - Black,"Audio-Technica ATH-M50x Professional Monitor Closed Over-Ear Headphones - Black - Audio-Technica -This most critically acclaimed model in the M-Series line, the M50x features incredible clarity over the whole frequency range. Complete with 45mm drivers, and 3 detachable cables, it is the main choice",228.99,AUD,1889634
